start_time,end_time,name,content
314,318,Adhir,he must have just wailed on it to get that pickguard.. that big
317,320,Jeans,yea.. well.. it’s also that’s a different kind of a
319,321,Adhir,I’ve never seen a pickguard like that
322,323,Blake,me neither (5
323,324,Blake,LOOK it Earl Scruggs Banjo (5
325,329,Adhir,Earl Scruggs Banjo..the most famous banjo in the world just chilling
330,333,Blake,AND THEN BILL MONROE’s mandolin which got put together by a hundred fifty
332,333,Adhir,say what
333,334,Blake,Bill Monroe’s mandolin
334,335,Adhir,ahh yeah
335,345,Blake,150 umm splinters of wood..PERFECT LOOK AT IT..there’s not a single..like there’s like...some like...look it...it looks like it was never
337,339,Jeans,maybe they’ll have new posters in the museum today.. the shop (5
342,344,Mae,I don’t think you would get your hopes up about something like that
346,348,Adhir,ahh you can’t even tell it was repaired!
346,349,Jeans,you told me I wasn’t going to be able to get that poster home and I did.. it’s in a hard cardboard thing
347,350,Blake,like NOTHING...they did such a good job on doing that..crazy!
356,358,Blake,and then Maybelle Carters and ummm Hank..wait...Jimmy Rogers
363,365,Jeans,isn’t this just on recording stupid stuff!?
369,370,Jeans,what’s that?
377,382,Lily,it doesn’t work!  i wanna see this one! It's not it!
382,383,Blake,there
397,399,Jeans,god he goes SO SLOW
398,399,Lily,oh LOOK! Hank Williams
400,401,Jeans,oh yeah
405,408,Jeans,look at the grammies no wait (**) it's a
415,416,Jeans,that’s epic look at that
416,418,Lily,that’s beautiful!
416,417,Blake,Maybelle Carter’s...Gibson L-5
417,418,Adhir,WOW! Maybelle Carters guitar
419,420,Jeans,so cool (6
420,422,Blake,and then Jimmy Rogers and that’s all
421,424,Adhir,NINETEEN YEARS OLD!
422,424,Blake,that’s still pretty old
426,430,Adhir,that’s not that old?  she paid 275 DOLLARS!
429,432,Blake,back then that was a lot
431,434,Adhir,yea.. back then that was so much money
440,443,Mae,she changed the WORLD with that guitar
442,443,Adhir,YEA!
444,447,Mae,so CRAZY she had more influence than probably any of these guys (*)
450,455,Jeans,imitated..she.. it became the most imitated guitar sound in America during the 20’s and 30’s (***)
462,466,Mae,just a true creative force arising out of nothing.. it’s just so cool
466,467,Jeans,let’s keep going!
469,470,Lily,let’s go down-where do we go now?
470,471,Adhir,OH MY GOD!
470,471,Jeans,we come over here
472,474,Lily,I think we can skip crystal gayle
474,477,Jeans,yea of course!  come on you guys
475,476,Lily,LOOK at those dresses
477,478,Adhir,it’s in such good shape to!
478,479,Adhir,it’s pretty impressive
478,480,Mae,I know
480,483,Jeans,Look you won’t even believe all the platinum gold records on this place...HUNDREDS!
481,483,Blake,YOU DIDN’t look at Jimmy Rogers!
482,485,Adhir,yea Jimmy Rogers I don’t know.. I never really liked him that much 
486,489,Blake,oh yeah now we are going down to the second floor (**) where there’s smokey and the bandit car
488,489,Adhir,ok
490,492,Blake,the best movie in the world
